text,sentiment
"My daughter liked it but I was aghast, that a character in this movie smokes. As if it isn't awful enough to see ""product placement"" actors like Bruce Willis who smoke in their movies - at least children movies should be more considerate! I wonder: was that intentional? Did big tobacco ""sponsor"" the film? What does it take to ban smoking from films? At least films intended for children and adolescents. My daughter liked it but I was aghast, that a character in this movie smokes. As if it isn't awful enough to see ""product placement"" actors like Bruce Willis who smoke in their movies - at least children movies should be more considerate! I wonder: was that intentional? Did big tobacco ""sponsor"" the film? What does it take to ban smoking from films? At least films intended for children and adolescents.",neg
"I... No words. No words can describe this. I will try for the sake of those few brave people who stick knives into their toasters... after watching this show.This... Cosgrove person... Her acting is like watching a female gorilla dance upon the nest of highly agitated insects. Perhaps I exaggerate. However, I have a feeling that the description fits a regular day of writing this show.The characters in this repulsive pile of raw sewage are as useless as a small piece of space rock that flies into the sun on any day of the week. Though heart attacks have not been experienced while watching them act like fools on the cheaply built sets, I have no doubt that it will happen eventually.The main plot of this *belches loudly into the faces of the actors* is that of a foolish girl who hosts a live weekly web-cast on the creatively titled iCarly.com with her brainless friends, one of which owns equipment that the producers of this show probably couldn't afford. Her legal guardian is some kind of moron who is apparently her older brother.I haven't watched all of this show for fear of developing cancer, or perhaps a cold, but some of the plot points I have seen involve the brother getting stuck in an elevator, the doorman of the apartment almost dieing, and the world's fattest priest coming for a visit. No, really.Avoid this if you are over the age of unborn or if you have a history of joining mysterious cults due to mental trauma. If you do decide to watch it, laugh when the laugh-track tells you to, as this will drown out the repetitive noise that will eventually put you in a coma if you listen to it for too long. The show receives a one star rating because the IMDb inexplicably has not adopted the use of negative numbers.",neg
"this film is basically a poor take on the old urban legend of the babysitter who gets crank calls telling her to check the children, she calls the police who trace the calls and find there coming from inside the house. when a killer calls has a story so simplistic a little kid could have written it. not much suspense, it becomes clear who the killer is halfway through the film. at the beginning, when the first victim is killed it looks like a bondage fetish scene from a porn site or something. whats up with that? the film is oh so typical slasher fare with a plot about as original as a Beatles concert. even by low budget slasher standards its cheesy. don't waste your time with this. nuff said",neg
"This is a terrible movie, and I'm not even sure why it's so terrible. It's ugly, for one, with that trendy 1970s visual style that maybe seemed like a good idea at the time but which now enables one to instantly recognize a film from that time period as being a 70s product. The film retains the story and songs that made the stage version of the musical such a hit, but the songs sound lifeless on screen. But mostly, the movie sucks because of the wan performance of Lucille Ball, who you'd think would be able to make something of this larger-than-life character if anyone could. She sleepwalks through the movie like a terrified actress choking on her opening night, and the film sinks with her. Even Bea Arthur, who I bet was hilarious in the best friend role onstage, can't breathe any life into this stinker.Avoid at all costs.Grade: D",neg
"First of all this movie is a piece of reality very well realized artistically. Some kind of combination between ""American Beauty"" and ""As Good as it gets"". And of course something specifically to all Russian movies ( of course the valuable one, no dirty propaganda !) : the problem of loneliness of man ... Especially recommended for the people which really want to see beyond all vomitive propaganda about communism ( both positive or negative propaganda ! ). A movie about common people, their problems, lack of satisfactions - especially for young ones, fear when touch the real and too dirty face of the society ... and about the fake ""solutions"" : alcohol and violence ... and probably the only real solution : true love ... Of course it's very well ""located"" in the space and time of ""Russian perestroika"" but it's valid for all the society ( except a perfect one, but don't worry - not possible to find this on our Earth !). For the last time - definitely recommended ...",pos
"As a young lass, beautiful Joan Woodbury (as Rita Adams) was orphaned, after her ""stool pigeon"" father was shot to death. As a young woman, Ms. Woodbury finds herself struggling to keep a job, as her murdered father's ex-convict status makes Woodbury a bad business risk. Woodbury rooms with understanding songstress Linda Ware (as Donna Andrews), who advises Woodbury to get in touch with old orphanage friends John Archer (as Bob Elliott) and Jack La Rue (as Mickey Roman). But, none of her friends can help when Woodbury is the victim of a scam, which lands her in prison. Upon release, Woodbury decides to give the male mobsters a run for their money
 Re-titled ""Gangs, Inc."", this is an obviously weak, cheap mobster melodrama. Still, it's a lot of fun to watch Woodbury work wonders with inferior material. She plays the innocent growing more sophisticated ""Rita"" quite convincingly; and, she tosses in a great bit as a blonde hooker. Woodbury must be added to the list of unfortunately underutilized Hollywood actresses of the past. ""Paper Bullets"" also features an early Alan Ladd (as Jimmy Kelly aka Bill Dugan). Ms. Ware, who sang the hit ""An Apple for the Teacher"" with Bing Crosby, sings a couple of fair '40s numbers nicely. But, mainly, it's Woodbury's show.**** Paper Bullets (1941) Phil Rosen ~ Joan Woodbury, Linda Ware, Alan Ladd",neg
"Low budget, but still creepy enough to hold your interest in another take off on the familiar Frankenstein story. This movie is also known as LADY FRANKENSTEIN. The alluring Tania Frankenstein(Sara Bay)fresh from medical school arrives at her father's estate to find that he is still up to his old tricks. Baron Frankenstein(Joseph Cotten)is murdered by his own creation and now his daughter decides to carry on the family tradition by creating herself a lover. This is closer to being an eerie melodrama than horror flick. Supporting cast features Mickey Hargitay, Paul Whiteman, Paul Muller and Herbert Fux. A rainy night could amplify the atmosphere. Still a fun watch.",neg
"Just to save you the $3, or whatever it costs to rent movies at your local video store, and the anguishing hour-and-however-long-this-movie-is here's a simple plan. Go over to a friend's house, talk them into renting The Pest for you, watch the first 30 seconds or so and then make up some excuse to leave. The opening sequence is really funny, definitely worth watching. Unfortunately, the other 99% of the movie is horrible. Without the shower scene at the beginning this is one of the worst movies of all time.",neg
"If you want to see a film starring Stan laurel from the Laurel & Hardy comedies, this is not the film for you. Stan would not begin to find the character and rhythms of those films for another two years. If, however, you want a good travesty of the Rudolph Valentino BLOOD AND SAND, which had been made the previous year, this is the movie for you. All the stops are pulled out, both in physical comedy and on the title cards and if the movie is not held together by character, the plot of Valentino's movie is used -- well sort of.",pos
"I am willing to tolerate almost anything in a Sci-Fi movie, but this was almost intolerable. While a few of the special effects are very cool (landscapes) this is no 'battlespace' rather a disjointed weird mother/daughter relationship with sci-fi concepts thrown in. The acting (wooden), framing and shooting (kindergarten film school) and with ""hand-to-hand"" combat scenes funnier than any Hong Kong chopsocky movie, this film bores. The plot line is convoluted and the devices used to move the plot along (narrator), unexplained scene jumps and plenty of deus ex machina reinforce the idea that writer cum director is not a good idea. Save your love of Sci-Fi for something else instead of losing a bit of it here.",neg
